Words,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,Phonemes,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
learn,l,e,a,r,n,?,?,?,?,?,?,?,?,?,l4n,l,4,n,?,?,?,?,?,?,?
leave,l,e,a,v,e,?,?,?,?,?,?,?,?,?,l5v,l,5,v,?,?,?,?,?,?,?
legal,l,e,g,a,l,?,?,?,?,?,?,?,?,?,0l5?(A)l,0,l,5,?,(A),l,?,?,?,?
less,l,e,s,s,?,?,?,?,?,?,?,?,?,?,les,l,e,s,?,?,?,?,?,?,?
let,l,e,t,?,?,?,?,?,?,?,?,?,?,?,let,l,e,t,?,?,?,?,?,?,?
letter,l,e,t,t,e,r,?,?,?,?,?,?,?,?,0letA,0,l,e,t,A,?,?,?,?,?
level,l,e,v,e,l,?,?,?,?,?,?,?,?,?,0lev(A)l,0,l,e,v,(A),l,?,?,?,?
lie,l,i,e,?,?,?,?,?,?,?,?,?,?,?,l8,l,8,?,?,?,?,?,?,?,?
life,l,i,f,e,?,?,?,?,?,?,?,?,?,?,l8f,l,8,f,?,?,?,?,?,?,?
light,l,i,g,h,t,?,?,?,?,?,?,?,?,?,l8t,l,8,t,?,?,?,?,?,?,?
like,l,i,k,e,?,?,?,?,?,?,?,?,?,?,l8k,l,8,k,?,?,?,?,?,?,?
likely,l,i,k,e,l,y,?,?,?,?,?,?,?,?,0l8kli,0,l,8,k,l,i,?,?,?,?
limit,l,i,m,i,t,?,?,?,?,?,?,?,?,?,0lImIt,0,l,I,m,I,t,?,?,?,?
line,l,i,n,e,?,?,?,?,?,?,?,?,?,?,l8n,l,8,n,?,?,?,?,?,?,?
link,l,i,n,k,?,?,?,?,?,?,?,?,?,?,lINk,l,I,N,k,?,?,?,?,?,?
list,l,i,s,t,?,?,?,?,?,?,?,?,?,?,lIst,l,I,s,t,?,?,?,?,?,?
listen,l,i,s,t,e,n,?,?,?,?,?,?,?,?,0lIs(A)n,0,l,I,s,(A),n,?,?,?,?
little,l,i,t,t,l,e,?,?,?,?,?,?,?,?,0lIt(A)l,0,l,I,t,(A),l,?,?,?,?
live,l,i,v,e,?,?,?,?,?,?,?,?,?,?,lIv,l,I,v,?,?,?,?,?,?,?
local,l,o,c,a,l,?,?,?,?,?,?,?,?,?,0lZk(A)l,0,l,Z,k,(A),l,?,?,?,?
long,l,o,n,g,?,?,?,?,?,?,?,?,?,?,loN,l,o,N,?,?,?,?,?,?,?
look,l,o,o,k,?,?,?,?,?,?,?,?,?,?,lUk,l,U,k,?,?,?,?,?,?,?
lose,l,o,s,e,?,?,?,?,?,?,?,?,?,?,l7z,l,7,z,?,?,?,?,?,?,?
loss,l,o,s,s,?,?,?,?,?,?,?,?,?,?,los,l,o,s,?,?,?,?,?,?,?
lot,l,o,t,?,?,?,?,?,?,?,?,?,?,?,lot,l,o,t,?,?,?,?,?,?,?
love,l,o,v,e,?,?,?,?,?,?,?,?,?,?,luv,l,u,v,?,?,?,?,?,?,?
low,l,o,w,?,?,?,?,?,?,?,?,?,?,?,lZ,l,Z,?,?,?,?,?,?,?,?
main,m,a,i,n,?,?,?,?,?,?,?,?,?,?,m!n,m,!,n,?,?,?,?,?,?,?
maintain,m,a,i,n,t,a,i,n,?,?,?,?,?,?,m!n0t!n,m,!,n,0,t,!,n,?,?,?
maintain,m,a,i,n,t,a,i,n,?,?,?,?,?,?,mAn0t!n,m,A,n,0,t,!,n,?,?,?
major,m,a,j,o,r,?,?,?,?,?,?,?,?,?,0m!JA,0,m,!,J,A,?,?,?,?,?
majority,m,a,j,o,r,i,t,y,?,?,?,?,?,?,mA0JorIti,m,A,0,J,o,r,I,t,i,?
make,m,a,k,e,?,?,?,?,?,?,?,?,?,?,m!k,m,!,k,?,?,?,?,?,?,?
male,m,a,l,e,?,?,?,?,?,?,?,?,?,?,m!l,m,!,l,?,?,?,?,?,?,?
man,m,a,n,?,?,?,?,?,?,?,?,?,?,?,man,m,a,n,?,?,?,?,?,?,?
manage,m,a,n,a,g,e,?,?,?,?,?,?,?,?,0manIJ,0,m,a,n,I,J,?,?,?,?
management,m,a,n,a,g,e,m,e,n,t,?,?,?,?,0manIJm(A)nt,0,m,a,n,I,J,m,(A),n,t
manager,m,a,n,a,g,e,r,?,?,?,?,?,?,?,0manIJA,0,m,a,n,I,J,A,?,?,?
many,m,a,n,y,?,?,?,?,?,?,?,?,?,?,0meni,0,m,e,n,i,?,?,?,?,?
mark,m,a,r,k,?,?,?,?,?,?,?,?,?,?,m2k,m,2,k,?,?,?,?,?,?,?
market,m,a,r,k,e,t,?,?,?,?,?,?,?,?,0m2kIt,0,m,2,k,I,t,?,?,?,?
mass,m,a,s,s,?,?,?,?,?,?,?,?,?,?,mas,m,a,s,?,?,?,?,?,?,?
match,m,a,t,c,h,?,?,?,?,?,?,?,?,?,ma1,m,a,1,?,?,?,?,?,?,?
material,m,a,t,e,r,i,a,l,?,?,?,?,?,?,mA0t£r£l,m,A,0,t,£,r,£,l,?,?
matter,m,a,t,t,e,r,?,?,?,?,?,?,?,?,0matA,0,m,a,t,A,?,?,?,?,?
may,m,a,y,?,?,?,?,?,?,?,?,?,?,?,m!,m,!,?,?,?,?,?,?,?,?
maybe,m,a,y,b,e,?,?,?,?,?,?,?,?,?,0m!b5,0,m,!,b,5,?,?,?,?,?
maybe,m,a,y,b,e,?,?,?,?,?,?,?,?,?,0m!bi,0,m,!,b,i,?,?,?,?,?
me,m,e,?,?,?,?,?,?,?,?,?,?,?,?,m5,m,5,?,?,?,?,?,?,?,?
mean,m,e,a,n,?,?,?,?,?,?,?,?,?,?,m5n,m,5,n,?,?,?,?,?,?,?
measure,m,e,a,s,u,r,e,?,?,?,?,?,?,?,0meSA,0,m,e,S,A,?,?,?,?,?
media,m,e,d,i,a,?,?,?,?,?,?,?,?,?,0m5d£,0,m,5,d,£,?,?,?,?,?
medical,m,e,d,i,c,a,l,?,?,?,?,?,?,?,0medIk(A)l,0,m,e,d,I,k,(A),l,?,?
meet,m,e,e,t,?,?,?,?,?,?,?,?,?,?,m5t,m,5,t,?,?,?,?,?,?,?
meeting,m,e,e,t,i,n,g,?,?,?,?,?,?,?,0m5tIN,0,m,5,t,I,N,?,?,?,?
member,m,e,m,b,e,r,?,?,?,?,?,?,?,?,0membA,0,m,e,m,b,A,?,?,?,?
memory,m,e,m,o,r,y,?,?,?,?,?,?,?,?,0mem(A)ri,0,m,e,m,(A),r,i,?,?,?
mention,m,e,n,t,i,o,n,?,?,?,?,?,?,?,0menF(A)n,0,m,e,n,F,(A),n,?,?,?
message,m,e,s,s,a,g,e,?,?,?,?,?,?,?,0mesIJ,0,m,e,s,I,J,?,?,?,?
method,m,e,t,h,o,d,?,?,?,?,?,?,?,?,0meOAd,0,m,e,O,A,d,?,?,?,?
might,m,i,g,h,t,?,?,?,?,?,?,?,?,?,m8t,m,8,t,?,?,?,?,?,?,?
military,m,i,l,i,t,a,r,y,?,?,?,?,?,?,0mIlIt(A)ri,0,m,I,l,I,t,(A),r,i,?
million,m,i,l,l,i,o,n,?,?,?,?,?,?,?,0mIljAn,0,m,I,l,j,A,n,?,?,?
mind,m,i,n,d,?,?,?,?,?,?,?,?,?,?,m8nd,m,8,n,d,?,?,?,?,?,?
minister,m,i,n,i,s,t,e,r,?,?,?,?,?,?,0mInIstA,0,m,I,n,I,s,t,A,?,?
minute,m,i,n,u,t,e,?,?,?,?,?,?,?,?,0mInIt,0,m,I,n,I,t,?,?,?,?
miss,m,i,s,s,?,?,?,?,?,?,?,?,?,?,mIs,m,I,s,?,?,?,?,?,?,?
mix,m,i,x,?,?,?,?,?,?,?,?,?,?,?,mIks,m,I,k,s,?,?,?,?,?,?
model,m,o,d,e,l,?,?,?,?,?,?,?,?,?,0mod(A)l,0,m,o,d,(A),l,?,?,?,?
modern,m,o,d,e,r,n,?,?,?,?,?,?,?,?,0mod(A)n,0,m,o,d,(A),n,?,?,?,?
moment,m,o,m,e,n,t,?,?,?,?,?,?,?,?,0mZm(A)nt,0,m,Z,m,(A),n,t,?,?,?
money,m,o,n,e,y,?,?,?,?,?,?,?,?,?,0muni,0,m,u,n,i,?,?,?,?,?
month,m,o,n,t,h,?,?,?,?,?,?,?,?,?,munO,m,u,n,O,?,?,?,?,?,?
more,m,o,r,e,?,?,?,?,?,?,?,?,?,?,m6,m,6,?,?,?,?,?,?,?,?
most,m,o,s,t,?,?,?,?,?,?,?,?,?,?,mZst,m,Z,s,t,?,?,?,?,?,?
mother,m,o,t,h,e,r,?,?,?,?,?,?,?,?,0muTA,0,m,u,T,A,?,?,?,?,?
move,m,o,v,e,?,?,?,?,?,?,?,?,?,?,m7v,m,7,v,?,?,?,?,?,?,?
movement,m,o,v,e,m,e,n,t,?,?,?,?,?,?,0m7vm(A)nt,0,m,7,v,m,(A),n,t,?,?
movie,m,o,v,i,e,?,?,?,?,?,?,?,?,?,0m7vi,0,m,7,v,i,?,?,?,?,?
much,m,u,c,h,?,?,?,?,?,?,?,?,?,?,mu1,m,u,1,?,?,?,?,?,?,?
music,m,u,s,i,c,?,?,?,?,?,?,?,?,?,0mj7zIk,0,m,j,7,z,I,k,?,?,?
must,m,u,s,t,?,?,?,?,?,?,?,?,?,?,must,m,u,s,t,?,?,?,?,?,?
my,m,y,?,?,?,?,?,?,?,?,?,?,?,?,m8,m,8,?,?,?,?,?,?,?,?
myself,m,y,s,e,l,f,?,?,?,?,?,?,?,?,m80self,m,8,0,s,e,l,f,?,?,?
myself,m,y,s,e,l,f,?,?,?,?,?,?,?,?,mI0self,m,I,0,s,e,l,f,?,?,?
name,n,a,m,e,?,?,?,?,?,?,?,?,?,?,n!m,n,!,m,?,?,?,?,?,?,?
nation,n,a,t,i,o,n,?,?,?,?,?,?,?,?,0n!F(A)n,0,n,!,F,(A),n,?,?,?,?
national,n,a,t,i,o,n,a,l,?,?,?,?,?,?,0naF(A)n(A)l,0,n,a,F,(A),n,(A),l,?,?
natural,n,a,t,u,r,a,l,?,?,?,?,?,?,?,0na1(A)r(A)l,0,n,a,1,(A),r,(A),l,?,?
nature,n,a,t,u,r,e,?,?,?,?,?,?,?,?,0n!1A,0,n,!,1,A,?,?,?,?,?
near,n,e,a,r,?,?,?,?,?,?,?,?,?,?,n£,n,£,?,?,?,?,?,?,?,?
nearly,n,e,a,r,l,y,?,?,?,?,?,?,?,?,0n£li,0,n,£,l,i,?,?,?,?,?
necessary,n,e,c,e,s,s,a,r,y,?,?,?,?,?,0nesAs(A)ri,0,n,e,s,A,s,(A),r,i,?
need,n,e,e,d,?,?,?,?,?,?,?,?,?,?,n5d,n,5,d,?,?,?,?,?,?,?
network,n,e,t,w,o,r,k,?,?,?,?,?,?,?,0netw4k,0,n,e,t,w,4,k,?,?,?
never,n,e,v,e,r,?,?,?,?,?,?,?,?,?,0nevA,0,n,e,v,A,?,?,?,?,?
new,n,e,w,?,?,?,?,?,?,?,?,?,?,?,nj7,n,j,7,?,?,?,?,?,?,?
news,n,e,w,s,?,?,?,?,?,?,?,?,?,?,nj7z,n,j,7,z,?,?,?,?,?,?
next,n,e,x,t,?,?,?,?,?,?,?,?,?,?,nekst,n,e,k,s,t,?,?,?,?,?
nice,n,i,c,e,?,?,?,?,?,?,?,?,?,?,n8s,n,8,s,?,?,?,?,?,?,?
night,n,i,g,h,t,?,?,?,?,?,?,?,?,?,n8t,n,8,t,?,?,?,?,?,?,?
no,n,o,?,?,?,?,?,?,?,?,?,?,?,?,nZ,n,Z,?,?,?,?,?,?,?,?
normal,n,o,r,m,a,l,?,?,?,?,?,?,?,?,0n6m(A)l,0,n,6,m,(A),l,?,?,?,?
not,n,o,t,?,?,?,?,?,?,?,?,?,?,?,not,n,o,t,?,?,?,?,?,?,?
note,n,o,t,e,?,?,?,?,?,?,?,?,?,?,nZt,n,Z,t,?,?,?,?,?,?,?
nothing,n,o,t,h,i,n,g,?,?,?,?,?,?,?,0nuOIN,0,n,u,O,I,N,?,?,?,?
notice,n,o,t,i,c,e,?,?,?,?,?,?,?,?,0nZtIs,0,n,Z,t,I,s,?,?,?,?
now,n,o,w,?,?,?,?,?,?,?,?,?,?,?,n9,n,9,?,?,?,?,?,?,?,?
number,n,u,m,b,e,r,?,?,?,?,?,?,?,?,0numbA,0,n,u,m,b,A,?,?,?,?
observe,o,b,s,e,r,v,e,?,?,?,?,?,?,?,Ab0z4v,A,b,0,z,4,v,?,?,?,?
obtain,o,b,t,a,i,n,?,?,?,?,?,?,?,?,Ab0t!n,A,b,0,t,!,n,?,?,?,?
occur,o,c,c,u,r,?,?,?,?,?,?,?,?,?,A0k4,A,0,k,4,?,?,?,?,?,?
of,o,f,?,?,?,?,?,?,?,?,?,?,?,?,ov,o,v,?,?,?,?,?,?,?,?
of,o,f,?,?,?,?,?,?,?,?,?,?,?,?,(A)v,(A),v,?,?,?,?,?,?,?,?
off,o,f,f,?,?,?,?,?,?,?,?,?,?,?,of,o,f,?,?,?,?,?,?,?,?
offer,o,f,f,e,r,?,?,?,?,?,?,?,?,?,0ofA,0,o,f,A,?,?,?,?,?,?
office,o,f,f,i,c,e,?,?,?,?,?,?,?,?,0ofIs,0,o,f,I,s,?,?,?,?,?
officer,o,f,f,i,c,e,r,?,?,?,?,?,?,?,0ofIsA,0,o,f,I,s,A,?,?,?,?
official,o,f,f,i,c,i,a,l,?,?,?,?,?,?,A0fIF(A)l,A,0,f,I,F,(A),l,?,?,?
often,o,f,t,e,n,?,?,?,?,?,?,?,?,?,0of(A)n,0,o,f,(A),n,?,?,?,?,?
often,o,f,t,e,n,?,?,?,?,?,?,?,?,?,0oft(A)n,0,o,f,t,(A),n,?,?,?,?
oil,o,i,l,?,?,?,?,?,?,?,?,?,?,?,$l,$,l,?,?,?,?,?,?,?,?
old,o,l,d,?,?,?,?,?,?,?,?,?,?,?,Zld,Z,l,d,?,?,?,?,?,?,?
on,o,n,?,?,?,?,?,?,?,?,?,?,?,?,on,o,n,?,?,?,?,?,?,?,?
once,o,n,c,e,?,?,?,?,?,?,?,?,?,?,wuns,w,u,n,s,?,?,?,?,?,?
one,o,n,e,?,?,?,?,?,?,?,?,?,?,?,wun,w,u,n,?,?,?,?,?,?,?
only,o,n,l,y,?,?,?,?,?,?,?,?,?,?,0Znli,0,Z,n,l,i,?,?,?,?,?
open,o,p,e,n,?,?,?,?,?,?,?,?,?,?,0Zp(A)n,0,Z,p,(A),n,?,?,?,?,?
operation,o,p,e,r,a,t,i,o,n,?,?,?,?,?,opA0r!F(A)n,o,p,A,0,r,!,F,(A),n,?
opinion,o,p,i,n,i,o,n,?,?,?,?,?,?,?,A0pInjAn,A,0,p,I,n,j,A,n,?,?
option,o,p,t,i,o,n,?,?,?,?,?,?,?,?,0opF(A)n,0,o,p,F,(A),n,?,?,?,?
or,o,r,?,?,?,?,?,?,?,?,?,?,?,?,6,6,?,?,?,?,?,?,?,?,?
order,o,r,d,e,r,?,?,?,?,?,?,?,?,?,06dA,0,6,d,A,?,?,?,?,?,?
organize,o,r,g,a,n,i,z,e,?,?,?,?,?,?,06?(A)n8z,0,6,?,(A),n,8,z,?,?,?
original,o,r,i,g,i,n,a,l,?,?,?,?,?,?,A0rIJIn(A)l,A,0,r,I,J,I,n,(A),l,?
other,o,t,h,e,r,?,?,?,?,?,?,?,?,?,0uTA,0,u,T,A,?,?,?,?,?,?
our,o,u,r,?,?,?,?,?,?,?,?,?,?,?,&,&,?,?,?,?,?,?,?,?,?
out,o,u,t,?,?,?,?,?,?,?,?,?,?,?,9t,9,t,?,?,?,?,?,?,?,?
outside,o,u,t,s,i,d,e,?,?,?,?,?,?,?,9t0s8d,9,t,0,s,8,d,?,?,?,?
outside,o,u,t,s,i,d,e,?,?,?,?,?,?,?,09ts8d,0,9,t,s,8,d,?,?,?,?
over,o,v,e,r,?,?,?,?,?,?,?,?,?,?,0ZvA,0,Z,v,A,?,?,?,?,?,?
overall,o,v,e,r,a,l,l,?,?,?,?,?,?,?,0ZvAr6l,0,Z,v,A,r,6,l,?,?,?
own,o,w,n,?,?,?,?,?,?,?,?,?,?,?,Zn,Z,n,?,?,?,?,?,?,?,?
owner,o,w,n,e,r,?,?,?,?,?,?,?,?,?,0ZnA,0,Z,n,A,?,?,?,?,?,?
page,p,a,g,e,?,?,?,?,?,?,?,?,?,?,p!J,p,!,J,?,?,?,?,?,?,?
paper,p,a,p,e,r,?,?,?,?,?,?,?,?,?,0p!pA,0,p,!,p,A,?,?,?,?,?
parent,p,a,r,e,n,t,?,?,?,?,?,?,?,?,0p3r(A)nt,0,p,3,r,(A),n,t,?,?,?
part,p,a,r,t,?,?,?,?,?,?,?,?,?,?,p2t,p,2,t,?,?,?,?,?,?,?
particular,p,a,r,t,i,c,u,l,a,r,?,?,?,?,pA0tIkjUlA,p,A,0,t,I,k,j,U,l,A
partner,p,a,r,t,n,e,r,?,?,?,?,?,?,?,0p2tnA,0,p,2,t,n,A,?,?,?,?
party,p,a,r,t,y,?,?,?,?,?,?,?,?,?,0p2ti,0,p,2,t,i,?,?,?,?,?
pass,p,a,s,s,?,?,?,?,?,?,?,?,?,?,p2s,p,2,s,?,?,?,?,?,?,?
past,p,a,s,t,?,?,?,?,?,?,?,?,?,?,p2st,p,2,s,t,?,?,?,?,?,?
patient,p,a,t,i,e,n,t,?,?,?,?,?,?,?,0p!F(A)nt,0,p,!,F,(A),n,t,?,?,?
pattern,p,a,t,t,e,r,n,?,?,?,?,?,?,?,0pat(A)n,0,p,a,t,(A),n,?,?,?,?
pay,p,a,y,?,?,?,?,?,?,?,?,?,?,?,p!,p,!,?,?,?,?,?,?,?,?
people,p,e,o,p,l,e,?,?,?,?,?,?,?,?,0p5p(A)l,0,p,5,p,(A),l,?,?,?,?
per,p,e,r,?,?,?,?,?,?,?,?,?,?,?,p4,p,4,?,?,?,?,?,?,?,?
per-cent,p,e,r,-,c,e,n,t,?,?,?,?,?,?,pA0sent,p,A,0,s,e,n,t,?,?,?
perform,p,e,r,f,o,r,m,?,?,?,?,?,?,?,pA0f6m,p,A,0,f,6,m,?,?,?,?
performance,p,e,r,f,o,r,m,a,n,c,e,?,?,?,pA0f6m(A)ns,p,A,0,f,6,m,(A),n,s,?
perhaps,p,e,r,h,a,p,s,?,?,?,?,?,?,?,pA0haps,p,A,0,h,a,p,s,?,?,?
period,p,e,r,i,o,d,?,?,?,?,?,?,?,?,0p£r£d,0,p,£,r,£,d,?,?,?,?
person,p,e,r,s,o,n,?,?,?,?,?,?,?,?,0p4s(A)n,0,p,4,s,(A),n,?,?,?,?
personal,p,e,r,s,o,n,a,l,?,?,?,?,?,?,0p4s(A)n(A)l,0,p,4,s,(A),n,(A),l,?,?
phone,p,h,o,n,e,?,?,?,?,?,?,?,?,?,fZn,f,Z,n,?,?,?,?,?,?,?
physical,p,h,y,s,i,c,a,l,?,?,?,?,?,?,0fIzIk(A)l,0,f,I,z,I,k,(A),l,?,?
pick,p,i,c,k,?,?,?,?,?,?,?,?,?,?,pIk,p,I,k,?,?,?,?,?,?,?
picture,p,i,c,t,u,r,e,?,?,?,?,?,?,?,0pIk1A,0,p,I,k,1,A,?,?,?,?
piece,p,i,e,c,e,?,?,?,?,?,?,?,?,?,p5s,p,5,s,?,?,?,?,?,?,?
place,p,l,a,c,e,?,?,?,?,?,?,?,?,?,pl!s,p,l,!,s,?,?,?,?,?,?
plan,p,l,a,n,?,?,?,?,?,?,?,?,?,?,plan,p,l,a,n,?,?,?,?,?,?
plant,p,l,a,n,t,?,?,?,?,?,?,?,?,?,pl2nt,p,l,2,n,t,?,?,?,?,?
play,p,l,a,y,?,?,?,?,?,?,?,?,?,?,pl!,p,l,!,?,?,?,?,?,?,?
player,p,l,a,y,e,r,?,?,?,?,?,?,?,?,0pl!A,0,p,l,!,A,?,?,?,?,?
please,p,l,e,a,s,e,?,?,?,?,?,?,?,?,pl5z,p,l,5,z,?,?,?,?,?,?
point,p,o,i,n,t,?,?,?,?,?,?,?,?,?,p$nt,p,$,n,t,?,?,?,?,?,?
police,p,o,l,i,c,e,?,?,?,?,?,?,?,?,pA0l5s,p,A,0,l,5,s,?,?,?,?
policy,p,o,l,i,c,y,?,?,?,?,?,?,?,?,0polIsi,0,p,o,l,I,s,i,?,?,?
political,p,o,l,i,t,i,c,a,l,?,?,?,?,?,pA0lItIk(A)l,p,A,0,l,I,t,I,k,(A),l
poor,p,o,o,r,?,?,?,?,?,?,?,?,?,?,p6,p,6,?,?,?,?,?,?,?,?
poor,p,o,o,r,?,?,?,?,?,?,?,?,?,?,pQ,p,Q,?,?,?,?,?,?,?,?
popular,p,o,p,u,l,a,r,?,?,?,?,?,?,?,0popjUlA,0,p,o,p,j,U,l,A,?,?
position,p,o,s,i,t,i,o,n,?,?,?,?,?,?,pA0zIF(A)n,p,A,0,z,I,F,(A),n,?,?
positive,p,o,s,i,t,i,v,e,?,?,?,?,?,?,0pozItIv,0,p,o,z,I,t,I,v,?,?
possible,p,o,s,s,i,b,l,e,?,?,?,?,?,?,0posIb(A)l,0,p,o,s,I,b,(A),l,?,?
post,p,o,s,t,?,?,?,?,?,?,?,?,?,?,pZst,p,Z,s,t,?,?,?,?,?,?
potential,p,o,t,e,n,t,i,a,l,?,?,?,?,?,pA(U)0tenF(A)l,p,A,(U),0,t,e,n,F,(A),l
power,p,o,w,e,r,?,?,?,?,?,?,?,?,?,0p&,0,p,&,?,?,?,?,?,?,?
practice,p,r,a,c,t,i,c,e,?,?,?,?,?,?,0praktIs,0,p,r,a,k,t,I,s,?,?
presence,p,r,e,s,e,n,c,e,?,?,?,?,?,?,0prez(A)ns,0,p,r,e,z,(A),n,s,?,?
present,p,r,e,s,e,n,t,?,?,?,?,?,?,?,0prez(A)nt,0,p,r,e,z,(A),n,t,?,?
president,p,r,e,s,i,d,e,n,t,?,?,?,?,?,0prezId(A)nt,0,p,r,e,z,I,d,(A),n,t
press,p,r,e,s,s,?,?,?,?,?,?,?,?,?,pres,p,r,e,s,?,?,?,?,?,?
pressure,p,r,e,s,s,u,r,e,?,?,?,?,?,?,0preFA,0,p,r,e,F,A,?,?,?,?
pretty,p,r,e,t,t,y,?,?,?,?,?,?,?,?,0prIti,0,p,r,I,t,i,?,?,?,?
prevent,p,r,e,v,e,n,t,?,?,?,?,?,?,?,prI0vent,p,r,I,0,v,e,n,t,?,?
previous,p,r,e,v,i,o,u,s,?,?,?,?,?,?,0pr5v£s,0,p,r,5,v,£,s,?,?,?
price,p,r,i,c,e,?,?,?,?,?,?,?,?,?,pr8s,p,r,8,s,?,?,?,?,?,?
principle,p,r,i,n,c,i,p,l,e,?,?,?,?,?,0prInsIp(A)l,0,p,r,I,n,s,I,p,(A),l
private,p,r,i,v,a,t,e,?,?,?,?,?,?,?,0pr8vAt,0,p,r,8,v,A,t,?,?,?
probably,p,r,o,b,a,b,l,y,?,?,?,?,?,?,0probAbli,0,p,r,o,b,A,b,l,i,?
problem,p,r,o,b,l,e,m,?,?,?,?,?,?,?,0problAm,0,p,r,o,b,l,A,m,?,?
process,p,r,o,c,e,s,s,?,?,?,?,?,?,?,0prZses,0,p,r,Z,s,e,s,?,?,?
produce,p,r,o,d,u,c,e,?,?,?,?,?,?,?,prA0dj7s,p,r,A,0,d,j,7,s,?,?
product,p,r,o,d,u,c,t,?,?,?,?,?,?,?,0produkt,0,p,r,o,d,u,k,t,?,?
production,p,r,o,d,u,c,t,i,o,n,?,?,?,?,prA0dukF(A)n,p,r,A,0,d,u,k,F,(A),n
programme,p,r,o,g,r,a,m,m,e,?,?,?,?,?,0prZ?ram,0,p,r,Z,?,r,a,m,?,?
project,p,r,o,j,e,c,t,?,?,?,?,?,?,?,0proJekt,0,p,r,o,J,e,k,t,?,?
promise,p,r,o,m,i,s,e,?,?,?,?,?,?,?,0promIs,0,p,r,o,m,I,s,?,?,?
promote,p,r,o,m,o,t,e,?,?,?,?,?,?,?,prA0mZt,p,r,A,0,m,Z,t,?,?,?
property,p,r,o,p,e,r,t,y,?,?,?,?,?,?,0propAti,0,p,r,o,p,A,t,i,?,?
propose,p,r,o,p,o,s,e,?,?,?,?,?,?,?,prA0pZz,p,r,A,0,p,Z,z,?,?,?
protect,p,r,o,t,e,c,t,?,?,?,?,?,?,?,prA0tekt,p,r,A,0,t,e,k,t,?,?
protein,p,r,o,t,e,i,n,?,?,?,?,?,?,?,0prZt5n,0,p,r,Z,t,5,n,?,?,?
prove,p,r,o,v,e,?,?,?,?,?,?,?,?,?,pr7v,p,r,7,v,?,?,?,?,?,?
provide,p,r,o,v,i,d,e,?,?,?,?,?,?,?,prA0v8d,p,r,A,0,v,8,d,?,?,?
public,p,u,b,l,i,c,?,?,?,?,?,?,?,?,0publIk,0,p,u,b,l,I,k,?,?,?
publish,p,u,b,l,i,s,h,?,?,?,?,?,?,?,0publIF,0,p,u,b,l,I,F,?,?,?
pull,p,u,l,l,?,?,?,?,?,?,?,?,?,?,pUl,p,U,l,?,?,?,?,?,?,?
purpose,p,u,r,p,o,s,e,?,?,?,?,?,?,?,0p4pAs,0,p,4,p,A,s,?,?,?,?
push,p,u,s,h,?,?,?,?,?,?,?,?,?,?,pUF,p,U,F,?,?,?,?,?,?,?
put,p,u,t,?,?,?,?,?,?,?,?,?,?,?,pUt,p,U,t,?,?,?,?,?,?,?
quality,q,u,a,l,i,t,y,?,?,?,?,?,?,?,0kwolIti,0,k,w,o,l,I,t,i,?,?
question,q,u,e,s,t,i,o,n,?,?,?,?,?,?,0kwes1(A)n,0,k,w,e,s,1,(A),n,?,?
quickly,q,u,i,c,k,l,y,?,?,?,?,?,?,?,0kwIkli,0,k,w,I,k,l,i,?,?,?
quite,q,u,i,t,e,?,?,?,?,?,?,?,?,?,kw8t,k,w,8,t,?,?,?,?,?,?
race,r,a,c,e,?,?,?,?,?,?,?,?,?,?,r!s,r,!,s,?,?,?,?,?,?,?
raise,r,a,i,s,e,?,?,?,?,?,?,?,?,?,r!z,r,!,z,?,?,?,?,?,?,?
range,r,a,n,g,e,?,?,?,?,?,?,?,?,?,r!n(d)S,r,!,n,(d),S,?,?,?,?,?
rate,r,a,t,e,?,?,?,?,?,?,?,?,?,?,r!t,r,!,t,?,?,?,?,?,?,?
rather,r,a,t,h,e,r,?,?,?,?,?,?,?,?,0r2TA,0,r,2,T,A,?,?,?,?,?
reach,r,e,a,c,h,?,?,?,?,?,?,?,?,?,r51,r,5,1,?,?,?,?,?,?,?
read,r,e,a,d,?,?,?,?,?,?,?,?,?,?,r5d,r,5,d,?,?,?,?,?,?,?
reader,r,e,a,d,e,r,?,?,?,?,?,?,?,?,0r5dA,0,r,5,d,A,?,?,?,?,?
real,r,e,a,l,?,?,?,?,?,?,?,?,?,?,r5l,r,5,l,?,?,?,?,?,?,?
reality,r,e,a,l,i,t,y,?,?,?,?,?,?,?,rI0alIti,r,I,0,a,l,I,t,i,?,?
realize,r,e,a,l,i,z,e,?,?,?,?,?,?,?,0r£l8z,0,r,£,l,8,z,?,?,?,?
really,r,e,a,l,l,y,?,?,?,?,?,?,?,?,0r£li,0,r,£,l,i,?,?,?,?,?
reason,r,e,a,s,o,n,?,?,?,?,?,?,?,?,0r5z(A)n,0,r,5,z,(A),n,?,?,?,?
receive,r,e,c,e,i,v,e,?,?,?,?,?,?,?,rI0s5v,r,I,0,s,5,v,?,?,?,?
recent,r,e,c,e,n,t,?,?,?,?,?,?,?,?,0r5s(A)nt,0,r,5,s,(A),n,t,?,?,?
recently,r,e,c,e,n,t,l,y,?,?,?,?,?,?,0r5sntli,0,r,5,s,n,t,l,i,?,?
recognize,r,e,c,o,g,n,i,z,e,?,?,?,?,?,0rekA?n8z,0,r,e,k,A,?,n,8,z,?
